word_x	word_y	f_xy	f_x	f_y	pmi
arabia	saudi	3	4	3	11.222794902868111
lanka	sri	4	4	5	10.900866807980748
earliest	routledge	3	4	4	10.807757403589267
dwight	eisenhower	3	3	6	10.637832402146955
graphical	interface	3	3	6	10.637832402146955
routledge	kirby	3	4	6	10.222794902868111
cape	verde	3	8	3	10.222794902868111
earliest	kirby	3	4	6	10.222794902868111
percy	annabeth	3	9	3	10.0528699014258
championships	polo	3	7	4	10.000402481531664
pro	slavery	3	7	4	10.000402481531664
admiral	rear	3	4	7	10.000402481531664
kong	hong	8	9	9	9.882944899983487
anglo	saxon	6	9	7	9.83047748008935
monday	saturday	3	8	4	9.807757403589267
los	angeles	9	10	10	9.748863714535698
standard	deviation	3	12	3	9.637832402146955
earliest	kings	3	4	9	9.637832402146955
routledge	kings	3	4	9	9.637832402146955
truck	trailer	3	8	5	9.485829308701904
weigh	lb	3	11	4	9.34832578495197
coin	mint	3	15	3	9.315904307259592
g	d	3	5	9	9.315904307259592
catholic	archbishop	3	15	3	9.315904307259592
catholic	archdiocese	3	15	3	9.315904307259592
jesus	christ	3	9	5	9.315904307259592
volcano	eruption	4	10	6	9.315904307259592
grand	prix	7	16	7	9.222794902868111
declare	emergency	3	12	4	9.222794902868111
measurement	constant	3	12	4	9.222794902868111
equality	peace	3	5	10	9.163901213814542
lieutenant	colonel	3	10	5	9.163901213814542
breast	cancer	3	5	10	9.163901213814542
cat	thunderclan	3	17	3	9.135332061617772
ball	bounce	3	13	4	9.107317685448175
triple	h	4	7	10	9.093511885923144
inhabitant	arrondissement	4	9	8	9.0528699014258
kirby	kings	3	6	9	9.0528699014258
washington	d.c.	3	14	4	9.000402481531664
degree	doctorate	3	19	3	8.974867389424526
diocese	bishop	3	6	10	8.900866807980748
tribe	aboriginal	3	15	4	8.900866807980748
egg	lay	5	17	6	8.872297655783978
fat	protein	3	9	7	8.83047748008935
sentence	jail	3	9	7	8.83047748008935
compound	organic	3	11	6	8.763363284230813
awards	nominate	6	11	12	8.763363284230813
catholic	diocese	4	15	6	8.730941806538436
roman	archdiocese	3	23	3	8.699232946811097
roman	archbishop	3	23	3	8.699232946811097
finance	ministry	3	7	10	8.6784743866443
tie	rope	3	8	9	8.637832402146955
wine	italy	3	4	18	8.637832402146955
average	precipitation	3	25	3	8.578938713093386
°	04	4	20	5	8.578938713093386
european	uefa	3	26	3	8.522355184727019
d.	routledge	3	20	4	8.485829308701904
d.	earliest	3	20	4	8.485829308701904
machine	gun	4	9	12	8.467907400704643
negative	positive	5	8	17	8.457260156505134
orchestra	symphony	3	14	6	8.415439980810508
