word	frequency
1979	13
standup	1
tour	30
citation	133
in	3755
1998	27
he	1524
release	134
brandon	2
project	20
a	3019
blue	31
album	88
100	29
year	316
old	134
woman	89
name	270
rose	7
dewitt	1
bukater	1
tell	72
story	66
about	238
her	279
voyage	5
on	1053
the	10321
famous	46
ship	25
titanic	2
a1	2
be	6686
of	4423
major	60
road	28
some	251
country	102
2002	30
report	38
by	805
american	128
sports	7
data	8
find	135
that	1016
there	381
18.5	1
million	64
skateboarder	1
world	181
268	1
page	23
booklet	1
available	22
line	79
30	54
man	118
live	186
new	245
york	40
and	3593
look	49
for	1196
true	20
love	62
3d	4
brawler	1
have	1317
player	92
fight	42
against	70
another	92
playable	3
character	52
with	851
x	14
ray	7
show	183
during	136
400	9
kv	1
substation	1
just	69
commission	9
power	64
grid	4
corporation	10
will	165
ensure	5
high	139
quality	12
supply	18
to	3028
city	159
5	42
girl	27
set	71
up	209
lemonade	1
stand	41
outside	38
house	59
june	53
2013	34
raise	13
money	40
planting	1
peace	10
who	256
own	77
equality	5
aang	3
last	80
airbender	1
bad	52
thing	84
joy	4
cons	2
something	37
call	292
con	4
drift	1
one	464
main	93
cause	79
it	1381
dirt	2
balanced	3
overview	1
abalone	1
diver	4
normally	11
use	430
very	191
thick	6
wetsuit	1
include	136
hood	4
booty	1
glove	2
barge	1
simple	21
boat	23
flat	9
surface	26
long	148
structure	20
barrier	1
lift	9
drive	30
away	39
battery	8
can	358
cell	30
or	487
many	329
abbott	1
agree	16
clear	14
martin	12
's	642
record	74
grant	9
request	11
rest	24
his	705
team	94
abc	2
clio	1
santa	7
barbara	5
california	22
209	2
get	175
m.d.	1
degree	19
1881	4
at	647
age	73
25	30
enter	30
private	14
practice	18
neurology	1
financial	8
reason	30
abdominal	1
migraine	1
paroxysmal	1
attack	51
happen	45
suddenly	4
again	70
beam	5
bend	4
under	73
an	503
evenly	1
distribute	8
load	6
abell	1
two	289
other	365
found	53
newspaper	23
may	168
17	31
1837	1
besom	1
often	113
sweep	2
negative	7
energy	27
spirit	8
big	81
star	54
form	116
flag	13
ten	31
people	424
leave	112
union	32
biologist	3
might	26
therefore	21
make	440
model	42
say	172
probability	7
offspring	2
small	125
size	38
if	144
parent	23
bizarre	3
cretaceous	3
theropod	1
dinosaur	11
from	815
patagonia	3
evolution	19
gondwanan	1
dromaeosaurid	1
block	17
administer	5
development	34
officer	27
bdo	1
appoint	10
government	86
west	39
bengal	5
bookshelf	1
background	8
aboriginal	4
tribe	15
also	516
lighthouse	4
because	202
they	885
do	412
not	595
want	91
their	387
land	67
100,000	8
arrest	13
50,000	4
send	35
prison	18
200,000	1
huế	1
30,000	2
kos	2
16,000	1
island	69
capital	29
cough	1
variant	5
asthma	5
develop	40
typical	6
500,000	2
travel	29
these	176
trail	9
die	124
ethnic	5
danish	2
schleswig	1
holstein	2
north	78
50.000	1
close	45
100.000	1
its	234
urban	6
area	151
5,000	4
each	94
8,300	1
7,700	1
ago	10
ice	21
dam	5
fail	12
catastrophically	1
95	3
park	33
wilderness	5
99.7	1
afghan	2
population	64
muslim	7
boy	23
family	84
keep	59
hide	14
group	160
agent	8
while	81
bring	33
home	60
brain	15
dead	26
person	94
breathe	6
abyss	2
defeat	17
styles	2
normal	21
match	45
following	5
next	52
gain	22
control	44
title	39
four	85
corners	1
tables	1
later	123
strip	8
academia	1
academic	5
contend	1
important	85
role	44
play	226
promote	14
public	39
discourse	5
achieve	8
professor	20
lock	8
themselves	20
ivory	2
tower	23
instead	31
engage	8
society	48
large	144
salient	1
issue	32
day	137
medicine	16
journal	14
association	22
medical	16
colleges	2
93(6	1
881	1
rubenstein	1
e.	11
1973	13
candidate	14
nominee	1
which	371
consider	33
access	16
2010	68
08	3
since	113
july	72
2009	48
motion	5
chairman	13
museums	1
libraries	1
archives	1
council	33
mla	1
memory	12
unconsciously	1
even	77
when	315
we	60
try	69
remember	10
actual	10
process	23
unconscious	3
accord	36
1996	34
estimate	15
39,259	1
angelou	1
annie	2
henderson	4
build	84
business	24
food	52
stall	5
cater	1
black	68
worker	15
eventually	14
into	203
store	28
survey	8
1863	4
publish	62
tamil	4
language	75
only	190
every	62
historical	13
document	13
first	394
philosopher	2
know	233
write	157
down	83
study	62
themistius	1
oratio	1
36	7
317	1
although	59
fragment	2
work	247
remain	49
chouet	1
volcano	10
scream	1
i	104
explode	9
but	364
scientist	25
time	300
doubt	4
theory	26
court	45
nine	17
child	82
together	62
egyptian	8
legend	5
horus	1
son	57
light	47
outwit	1
evil	11
god	58
imprison	2
secret	13
tomb	5
expert	8
benefit	5
india	39
join	48
f1	2
calendar	10
father	59
warmbier	1
confession	3
force	61
abduct	1
korean	15
political	30
purpose	14
livy	1
59	2
bc	25
2011	60
census	23
town	69
2,579	1
ancient	27
sisyphus	2
roll	8
rock	40
hill	23
back	85
task	15
never	36
finish	36
canadian	12
2006	54
393,669	1
chaudière	1
appalaches	1
irish	11
independent	20
mas	1
reportedly	3
interested	5
purchase	10
jessbrook	1
former	28
stud	2
farm	16
cab	4
previously	11
belong	13
convict	8
gangster	1
john	41
gilligan	1
monitor	3
2015	36
annual	8
4.8	1
adult	29
over	135
15	34
participate	9
soccer	2
koran	1
noah	2
ask	49
canaan	2
come	140
decide	47
climb	8
mountain	28
insteadː	1
o	5
my	28
aboard	2
disbeliever	1
meteorological	1
service	49
canada	25
humidex	1
least	28
discomfort	3
40	15
great	78
above	23
45	5
dangerous	9
ace	4
juvenile	3
delinquent	1
novel	34
1950s	4
need	72
blackjack	1
briefly	5
appear	67
announce	37
sixteen	3
jump	13
between	140
third	55
fourth	31
act	42
chemical	19
reaction	23
paper	14
turn	38
hit	37
cholera	1
patient	9
give	158
ort	1
drink	12
thorough	1
safety	3
talk	34
most	241
elements	2
any	75
competent	2
professionally	1
run	86
river	84
trip	3
complete	31
binary	3
tree	25
full	24
concert	19
band	85
military	30
confidential	1
channel	24
way	101
transfer	10
datum	27
resistant	4
interception	2
tamper	1
impersonation	1
someone	22
else	14
spoof	1
contraction	1
double	16
bass	10
electric	11
guitar	17
cornice	2
usually	106
quite	24
all	257
change	124
direction	12
this	643
ripple	1
like	148
giant	10
piece	43
ribbon	5
tie	8
around	97
building	65
status	14
capacity	6
determine	9
law	39
place	125
incorporation	2
cosplayer	1
dress	4
as	956
jack	14
courtyard	4
space	42
inside	25
open	64
sky	3
acoustic	4
science	35
crane	6
kick	2
where	135
wrestler	10
perform	42
stance	2
leg	18
knee	1
arm	15
extend	16
position	45
croissant	1
eat	43
savory	1
sweet	3
filling	1
across	21
period	34
electron	11
affinity	2
increase	34
action	38
camera	16
strong	36
than	187
video	29
so	137
film	53
wear	37
move	99
speed	26
crash	20
potential	4
atlantic	6
region	52
especially	25
greenland	1
faroes	1
adams	7
iii	16
charles	7
j.	9
jockey	1
hollow	3
refuge	2
continental	5
army	51
reading	5
eagle	3
20	49
innocent	5
1989	18
after	330
serve	71
twelve	8
dark	22
brown	29
bottle	9
well	171
plain	11
protect	29
oil	17
sunlight	2
additional	7
article	33
undated	2
should	58
check	11
ethn.12	1
see	119
category	29
here	15
additionally	3
ongoing	4
office	20
dedicate	7
pro	7
bono	1
cost	15
profit	2
total	56
50	33
organization	19
analysis	11
photograph	9
reveal	11
object	19
convert	85
she	543
incorporate	9
mysterious	2
theme	15
music	121
mention	12
particularly	6
fascinate	1
idea	45
death	81
beyond	7
adenomas	1
macroadenoma	1
those	42
10	51
mm	7
microadenoma	1
adherence	1
sharia	3
part	192
faith	8
digital	7
copy	24
manuscript	4
produce	46
trinity	4
college	35
disaster	7
recovery	4
plan	43
procedure	3
consistency	3
integrity	1
corporate	2
system	73
adi	1
shankara	1
smart	5
would	160
wonder	4
how	77
could	114
such	112
odd	4
dishonest	1
guest	13
pay	29
visit	17
hulda	1
convince	6
trade	18
wand	4
beautiful	17
jewelry	2
adjective	2
agreement	14
noun	1
admiral	4
sakaibara	1
lieutenant	10
commander	11
tachibana	1
sentence	9
massacre	3
admiralty	1
station	44
tsuen	1
wan	2
doctorate	3
earn	10
pass	31
doctoral	2
dissertation	2
doctor	32
psychiatrist	1
delusion	1
false	7
seem	20
unlikely	2
draft	9
scenario	1
draw	14
frog	15
6	65
cm	19
green	26
mark	20
olive	2
grey	7
meet	48
different	148
weigh	11
tiger	12
shark	10
prey	13
young	46
farmer	10
hoe	1
weed	2
vegetable	6
crop	10
female	48
beluga	1
whale	10
calf	3
3	71
4	51
ferocious	1
battle	47
field	36
khanua	1
babur	2
win	114
few	57
minute	31
confederate	4
shell	11
mortally	1
wound	11
miles	3
specie	40
contract	10
whole	21
body	83
feynman	2
diagram	5
shape	22
straight	9
dotted	1
squiggly	1
point	66
vertex	1
guide	16
reptile	4
amphibian	1
eastern	26
central	45
america	22
fifth	19
movie	118
alpha	4
omega	2
vacation	3
dvd	8
august	55
fine	7
violate	1
clause	7
grossly	1
disproportional	1
nature	22
defendant	5
offense	2
fox	7
then	160
personally	3
neutralize	2
enemy	22
emplacement	1
direct	33
company	90
destroy	24
flood	7
boris	3
san	30
jeronimo	1
thousand	23
homeless	2
follow	48
single	55
seed	14
top	56
prove	21
successful	35
howard	5
ferryboat	1
nearby	12
bellevue	1
take	162
tred	1
avon	1
oxford	9
foundation	14
low	42
fountain	1
near	56
restaurant	6
flow	24
toward	3
garden	15
fall	49
grotto	1
wall	17
afraid	4
go	181
evelina	2
free	39
license	6
refer	35
copyright	2
africa	16
rich	16
fossil	8
patchy	1
incomplete	1
african	19
12	32
english	64
french	39
minister	43
respond	8
state	141
now	96
wish	6
13	31
second	124
performer	2
out	155
quaver	1
eighth	10
note	36
put	59
end	105
bar	15
measure	29
1554	1
regent	1
mary	22
mother	35
guise	1
1853	1
legislature	5
stop	42
kent	3
washington	15
bristol	5
county	50
courthouse	1
continue	36
alternate	3
session	3
providence	2
newport	3
1988	23
become	257
pro-	1
2	78
hour	40
49	3
stopwatch	1
diesel	3
start	154
brief	2
weaken	12
three	127
re	23
intensify	1
roughly	5
parallel	4
mexican	8
coast	22
breeze	1
warm	10
temperature	18
east	54
lakeshore	1
sometimes	65
late	39
evening	11
8	33
both	91
sompote	1
saengduenchai	1
award	72
favorable	2
decision	19
april	69
27	22
2004	35
little	43
albert	3
cry	7
white	59
rat	13
anything	10
stuff	3
animal	66
ascend	2
throne	9
1016	1
canute	3
execute	5
edmund	4
follower	2
crown	8
safe	10
bowl	9
fill	15
water	93
security	11
guard	13
suffer	12
tear	10
gas	19
damage	40
downtown	3
core	7
$	30
